inj_current,fr_per_current_mean,fr_per_current_sem,cell_type,cell_name,cell_unid,dataset_name,file_name,source_id
5.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
7.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
10.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
13.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
19.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
26.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
36.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
50.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
69.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
97.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
134.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
186.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
259.0,0.0,0.0,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
360.0,5.333333333333333,5.354126134736337,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
500.0,22.666666666666668,6.97614984548545,ON alpha,011626Bc1,10988,MultiPulse_whole_cell_CC,011626B,3
-300.0,0.0,0.0,OFF OS - subtype unknown,011626Bc3,10990,MultiPulse_Whole_cell_CC,011626B,4
-224.0,0.0,0.0,OFF OS - subtype unknown,011626Bc3,10990,MultiPulse_Whole_cell_CC,011626B,4
-167.0,0.0,0.0,OFF OS - subtype unknown,011626Bc3,10990,MultiPulse_Whole_cell_CC,011626B,4
